#feature                                                         ;occurence
CONFIG_HAVE_OPROFILE                                            ;100
CONFIG_OPROFILE_NMI_TIMER                                       ;100
CONFIG_JUMP_LABEL                                               ;51
CONFIG_STATIC_KEYS_SELFTEST                                     ;25
CONFIG_HAVE_EFFICIENT_UNALIGNED_ACCESS                          ;100
CONFIG_ARCH_USE_BUILTIN_BSWAP                                   ;100
CONFIG_HAVE_IOREMAP_PROT                                        ;100
CONFIG_HAVE_KPROBES                                             ;100
CONFIG_HAVE_KRETPROBES                                          ;100
CONFIG_HAVE_OPTPROBES                                           ;100
CONFIG_HAVE_KPROBES_ON_FTRACE                                   ;100
CONFIG_HAVE_NMI                                                 ;100
CONFIG_HAVE_ARCH_TRACEHOOK                                      ;100
CONFIG_HAVE_DMA_CONTIGUOUS                                      ;100
CONFIG_GENERIC_SMP_IDLE_THREAD                                  ;100
CONFIG_ARCH_HAS_FORTIFY_SOURCE                                  ;100
CONFIG_ARCH_HAS_SET_MEMORY                                      ;100
CONFIG_ARCH_WANTS_DYNAMIC_TASK_STRUCT                           ;100
CONFIG_HAVE_REGS_AND_STACK_ACCESS_API                           ;100
CONFIG_HAVE_DMA_API_DEBUG                                       ;100
CONFIG_HAVE_HW_BREAKPOINT                                       ;100
CONFIG_HAVE_MIXED_BREAKPOINTS_REGS                              ;100
CONFIG_HAVE_USER_RETURN_NOTIFIER                                ;100
CONFIG_HAVE_PERF_EVENTS_NMI                                     ;100
CONFIG_HAVE_HARDLOCKUP_DETECTOR_PERF                            ;100
CONFIG_HAVE_PERF_REGS                                           ;100
CONFIG_HAVE_PERF_USER_STACK_DUMP                                ;100
CONFIG_HAVE_ARCH_JUMP_LABEL                                     ;100
CONFIG_ARCH_HAVE_NMI_SAFE_CMPXCHG                               ;100
CONFIG_HAVE_CMPXCHG_LOCAL                                       ;100
CONFIG_HAVE_CMPXCHG_DOUBLE                                      ;100
CONFIG_ARCH_WANT_IPC_PARSE_VERSION                              ;48
CONFIG_HAVE_ARCH_SECCOMP_FILTER                                 ;100
CONFIG_HAVE_GCC_PLUGINS                                         ;100
CONFIG_HAVE_CC_STACKPROTECTOR                                   ;100
CONFIG_CC_STACKPROTECTOR                                        ;67
CONFIG_CC_STACKPROTECTOR_STRONG                                 ;24
CONFIG_THIN_ARCHIVES                                            ;100
CONFIG_HAVE_ARCH_WITHIN_STACK_FRAMES                            ;100
