xp; xp_val; conf; conf_val
RTL_CARDS; y; RTL_CARDS; y
WLAN_VENDOR_REALTEK; y; WLAN_VENDOR_REALTEK; y
OCFS2_FS; y; OCFS2_FS; y
MSNDPIN_IRQ; 0; ; 
SQUASHFS; y; SQUASHFS; y
SND_ES1968; y; SND_ES1968; y
ZONE_DMA; y; ZONE_DMA; y
HAVE_KPROBES; y; HAVE_KPROBES; y
HAVE_FUNCTION_TRACER; y; HAVE_FUNCTION_TRACER; y
LOCKDEP_SUPPORT; y; LOCKDEP_SUPPORT; y
HAVE_DEBUG_KMEMLEAK; y; HAVE_DEBUG_KMEMLEAK; y
HAVE_SYSCALL_TRACEPOINTS; y; HAVE_SYSCALL_TRACEPOINTS; y
HAVE_DEBUG_STACKOVERFLOW; y; HAVE_DEBUG_STACKOVERFLOW; y
INIT_ENV_ARG_LIMIT; 128; INIT_ENV_ARG_LIMIT; 32
HAVE_MEMBLOCK; y; HAVE_MEMBLOCK; y
ARCH_DMA_ADDR_T_64BIT; y; ARCH_DMA_ADDR_T_64BIT; y
SND_VIRMIDI; y; SND_VIRMIDI; y
SND_DRIVERS; y; SND_DRIVERS; y
ARCH_HAS_STRICT_MODULE_RWX; y; ARCH_HAS_STRICT_MODULE_RWX; y
SND_SOC_WM8990; y; SND_SOC_WM8990; y
I2C_BRCMSTB; y; I2C_BRCMSTB; y
MEDIA_TUNER_FC0011; y; MEDIA_TUNER_FC0011; y
DVB_USB_AF9035; y; DVB_USB_AF9035; y
ACPI_CUSTOM_DSDT_FILE; ""; ; 
SPARSEMEM; y; SPARSEMEM; y
SPARSEMEM_ALLOC_MEM_MAP_TOGETHER; y; SPARSEMEM_ALLOC_MEM_MAP_TOGETHER; y
MTD_MTDRAM; y; MTD_MTDRAM; y
MTDRAM_TOTAL_SIZE; 4096; MTDRAM_TOTAL_SIZE; 4096
NFC_HCI; y; NFC_HCI; y
NFC_SHDLC; y; NFC_SHDLC; y
LWTUNNEL; y; LWTUNNEL; y
LIBCRC32C; y; LIBCRC32C; y
BNXT; y; BNXT; y
DM_PERSISTENT_DATA; y; DM_PERSISTENT_DATA; y
BATMAN_ADV; y; BATMAN_ADV; y
BNX2X; y; BNX2X; y
SND_SOC_STA529; y; SND_SOC_STA529; y
IP_NF_MANGLE; y; IP_NF_MANGLE; y
PSS_BOOT_FILE; ""; ; 
CRYPTO_TWOFISH_X86_64; y; CRYPTO_TWOFISH_X86_64; y
CRYPTO_TWOFISH_X86_64_3WAY; y; CRYPTO_TWOFISH_X86_64_3WAY; y
CRYPTO_TWOFISH_AVX_X86_64; y; CRYPTO_TWOFISH_AVX_X86_64; y
ARCH_DEFCONFIG; "arch/x86/configs/x86_64_defconfig"; ARCH_DEFCONFIG; "arch/x86/configs/x86_64_defconfig"
MTD_PHYSMAP; y; MTD_PHYSMAP; y
MCB; y; MCB; y
SND_SOC_CS4265; y; SND_SOC_CS4265; y
MSNDPIN_INIT_FILE; ""; ; 
USB_GADGET_VBUS_DRAW; 500; USB_GADGET_VBUS_DRAW; 500
SCSI_AIC79XX; y; SCSI_AIC79XX; y
SND_SOC_WM8962; y; SND_SOC_WM8962; y
SND_IMX_SOC; y; SND_IMX_SOC; y
PCCARD_NONSTATIC; y; PCCARD_NONSTATIC; y
PD6729; y; PD6729; y
COREDUMP; y; COREDUMP; y
ELF_CORE; y; ELF_CORE; y
SND_DMA_SGBUF; y; SND_DMA_SGBUF; y
MYRI10GE; y; MYRI10GE; y
NET_VENDOR_MYRI; y; NET_VENDOR_MYRI; y
DEFCONFIG_LIST; "/etc/kernel-config"; ; 
FB_VIA; y; FB_VIA; y
CROSS_COMPILE; ""; CROSS_COMPILE; ""
ACPI_SYSTEM_POWER_STATES_SUPPORT; y; ACPI_SYSTEM_POWER_STATES_SUPPORT; y
PINMUX; y; PINMUX; y
RT2800_LIB_MMIO; y; RT2800_LIB_MMIO; y
FS_MBCACHE; y; FS_MBCACHE; y
EXT4_FS; y; EXT4_FS; y
SND_SOC_ALC5632; y; SND_SOC_ALC5632; y
FB_MB862XX; y; FB_MB862XX; y
IBM_EMAC_POLL_WEIGHT; 1; ; 
SELECT_MEMORY_MODEL; y; SELECT_MEMORY_MODEL; y
SND_SOC_ADAU1977; y; SND_SOC_ADAU1977; y
SND_SOC_ADAU1977_I2C; y; SND_SOC_ADAU1977_I2C; y
SND_SOC_ADAU1977_SPI; y; SND_SOC_ADAU1977_SPI; y
SND_SOC_PCM179X_I2C; y; SND_SOC_PCM179X_I2C; y
I2C_ALGOBIT; y; I2C_ALGOBIT; y
FB_GOLDFISH; y; FB_GOLDFISH; y
USB_XHCI_HCD; y; USB_XHCI_HCD; y
DVB_L64781; y; DVB_L64781; y
SND_SEQ_VIRMIDI; y; SND_SEQ_VIRMIDI; y
SND_EMU10K1_SEQ; y; SND_EMU10K1_SEQ; y
CLZ_TAB; y; CLZ_TAB; y
USB_SERIAL_WWAN; y; USB_SERIAL_WWAN; y
USB_SERIAL_QUALCOMM; y; USB_SERIAL_QUALCOMM; y
THINKPAD_ACPI; y; THINKPAD_ACPI; y
CRC_T10DIF; y; CRC_T10DIF; y
ARMV7M_SYSTICK; y; ARMV7M_SYSTICK; y
SND_AC97_CODEC; y; SND_AC97_CODEC; y
DE2104X; y; DE2104X; y
SND_SOC_INNO_RK3036; y; SND_SOC_INNO_RK3036; y
NET_IPGRE; y; NET_IPGRE; y
SND_SOC_AD73311; y; SND_SOC_AD73311; y
USBIP_CORE; y; USBIP_CORE; y
DVB_USB_DW2102; y; DVB_USB_DW2102; y
USB_XHCI_PLATFORM; y; USB_XHCI_PLATFORM; y
REGMAP_AC97; y; REGMAP_AC97; y
SND_SOC_WM9705; y; SND_SOC_WM9705; y
SND_SOC_AD1980; y; SND_SOC_AD1980; y
SND_SOC_WM9713; y; SND_SOC_WM9713; y
SND_SOC_WM9712; y; SND_SOC_WM9712; y
CRYPTO_GHASH; y; CRYPTO_GHASH; y
CRYPTO_GCM; y; CRYPTO_GCM; y
DVB_USB_ZD1301; y; DVB_USB_ZD1301; y
OMAP_MBOX_KFIFO_SIZE; 0; ; 
JBD2; y; JBD2; y
CONFIGFS_FS; y; CONFIGFS_FS; y
HAVE_DMA_API_DEBUG; y; HAVE_DMA_API_DEBUG; y
SND_AC97_POWER_SAVE_DEFAULT; 0; ; 
OF_PCI_IRQ; y; OF_PCI_IRQ; y
OF_PCI; y; OF_PCI; y
HAVE_ARCH_SECCOMP_FILTER; y; HAVE_ARCH_SECCOMP_FILTER; y
SND_SOC_INTEL_KBL_RT5663_MAX98927_MACH; y; SND_SOC_INTEL_KBL_RT5663_MAX98927_MACH; y
USB_CONFIGFS_F_UVC; y; USB_CONFIGFS_F_UVC; y
PARAVIRT; y; PARAVIRT; y
X86_TSC; y; X86_TSC; y
PARAVIRT_CLOCK; y; PARAVIRT_CLOCK; y
HYPERVISOR_GUEST; y; HYPERVISOR_GUEST; y
CC_OPTIMIZE_FOR_SIZE; y; CC_OPTIMIZE_FOR_SIZE; y
DVB_LGDT330X; y; DVB_LGDT330X; y
ARCH_SUSPEND_POSSIBLE; y; ARCH_SUSPEND_POSSIBLE; y
ARCH_HIBERNATION_POSSIBLE; y; ARCH_HIBERNATION_POSSIBLE; y
MTD_CFI_ADV_OPTIONS; y; MTD_CFI_ADV_OPTIONS; y
MTD_GEN_PROBE; y; MTD_GEN_PROBE; y
AIC79XX_DEBUG_MASK; 1; AIC79XX_DEBUG_MASK; 1
PCI_MSI_IRQ_DOMAIN; y; PCI_MSI_IRQ_DOMAIN; y
HID_PICOLCD_BACKLIGHT; y; HID_PICOLCD_BACKLIGHT; y
FIRMWARE_MEMMAP; y; FIRMWARE_MEMMAP; y
BCH; y; BCH; y
MTD_NAND_ECC_BCH; y; MTD_NAND_ECC_BCH; y
MTD_DOCG3; y; MTD_DOCG3; y
MTD_NAND_BCH; y; MTD_NAND_BCH; y
USB_LIBCOMPOSITE; y; USB_LIBCOMPOSITE; y
NET_VENDOR_SOLARFLARE; y; NET_VENDOR_SOLARFLARE; y
HAVE_ARCH_JUMP_LABEL; y; HAVE_ARCH_JUMP_LABEL; y
ISDN_DRV_GIGASET; y; ISDN_DRV_GIGASET; y
HAVE_RCU_TABLE_FREE; y; HAVE_RCU_TABLE_FREE; y
HAVE_RCU_TABLE_INVALIDATE; y; HAVE_RCU_TABLE_INVALIDATE; y
INET_DIAG; y; INET_DIAG; y
USB_CONFIGFS_EEM; y; USB_CONFIGFS_EEM; y
MFD_MC13XXX; y; MFD_MC13XXX; y
MFD_MC13XXX_I2C; y; MFD_MC13XXX_I2C; y
RADIO_SAA7706H; y; RADIO_SAA7706H; y
CS5535_MFGPT; y; CS5535_MFGPT; y
MFD_CS5535; y; MFD_CS5535; y
USBIP_VHCI_HCD; y; USBIP_VHCI_HCD; y
NF_CONNTRACK_MARK; y; NF_CONNTRACK_MARK; y
CMA; y; CMA; y
DMA_CMA; y; DMA_CMA; y
HAVE_DMA_CONTIGUOUS; y; HAVE_DMA_CONTIGUOUS; y
HW_CONSOLE; y; HW_CONSOLE; y
RTL8192SE; y; RTL8192SE; y
SND_SOC_TAS2552; y; SND_SOC_TAS2552; y
BQL; y; BQL; y
SND_SOC_NAU8810; y; SND_SOC_NAU8810; y
SND_SOC_LM4857; y; SND_SOC_LM4857; y
CMA_SIZE_SEL_MIN; y; CMA_SIZE_SEL_MIN; y
MSNDPIN_PERM_FILE; "/etc/sound/pndsperm.bin"; ; 
SERIAL_SAMSUNG_UARTS; 4; ; 
SND_SOC_ICS43432; y; SND_SOC_ICS43432; y
BGMAC; y; BGMAC; y
BGMAC_PLATFORM; y; BGMAC_PLATFORM; y
SLAB; y; SLAB; y
STACKDEPOT; y; STACKDEPOT; y
KASAN; y; KASAN; y
SND_SOC_PCM512x; y; SND_SOC_PCM512x; y
SND_SOC_PCM512x_SPI; y; SND_SOC_PCM512x_SPI; y
SND_SOC_PCM512x_I2C; y; SND_SOC_PCM512x_I2C; y
BLK_DEV_RAM_SIZE; 1; ; 
SND_SOC_AK4104; y; SND_SOC_AK4104; y
SND_SST_IPC_ACPI; y; SND_SST_IPC_ACPI; y
IOSF_MBI; y; IOSF_MBI; y
ARCH_SUPPORTS_MEMORY_FAILURE; y; ARCH_SUPPORTS_MEMORY_FAILURE; y
MEMORY_FAILURE; y; MEMORY_FAILURE; y
DVB_MT312; y; DVB_MT312; y
VIDEO_SAA7134_DVB; y; VIDEO_SAA7134_DVB; y
SND_EMU10K1; y; SND_EMU10K1; y
ARCH_ENABLE_MEMORY_HOTREMOVE; y; ARCH_ENABLE_MEMORY_HOTREMOVE; y
ATMEL_SSC; y; ATMEL_SSC; y
MTD_REDBOOT_DIRECTORY_BLOCK; 0; ; 
DVB_ISL6421; y; DVB_ISL6421; y
NETWORK_SECMARK; y; NETWORK_SECMARK; y
NET_VENDOR_SMSC; y; NET_VENDOR_SMSC; y
RAPIDIO_ENUM_BASIC; y; RAPIDIO_ENUM_BASIC; y
ARCH_USE_QUEUED_SPINLOCKS; y; ARCH_USE_QUEUED_SPINLOCKS; y
GPIO_ETRAXFS; y; GPIO_ETRAXFS; y
MIGRATION; y; MIGRATION; y
PANEL_LCD_PROTO; 0; ; 
PANEL_LCD_PIN_RW; 1; ; 
HAVE_DYNAMIC_FTRACE; y; HAVE_DYNAMIC_FTRACE; y
HZ_PERIODIC; y; HZ_PERIODIC; y
CRYPTO_AEAD2; y; CRYPTO_AEAD2; y
CRYPTO_AEAD; y; CRYPTO_AEAD; y
RADIO_TEA575X; y; RADIO_TEA575X; y
SND_FM801; y; SND_FM801; y
BATTERY_BQ27XXX_I2C; y; BATTERY_BQ27XXX_I2C; y
BATTERY_BQ27XXX; y; BATTERY_BQ27XXX; y
SND_PCM; y; SND_PCM; y
DRM_DW_HDMI_AHB_AUDIO; y; DRM_DW_HDMI_AHB_AUDIO; y
DRM_DW_HDMI; y; DRM_DW_HDMI; y
SND_USB; y; SND_USB; y
SND_VIRTUOSO; y; SND_VIRTUOSO; y
PCSPKR_PLATFORM; y; PCSPKR_PLATFORM; y
SND_OXYGEN; y; SND_OXYGEN; y
SND_PCMCIA; y; SND_PCMCIA; y
HAS_IOPORT_MAP; y; HAS_IOPORT_MAP; y
SND_X86; y; SND_X86; y
VIDEO_TW686X; y; VIDEO_TW686X; y
SND_SPI; y; SND_SPI; y
SND_USB_UA101; y; SND_USB_UA101; y
SND_RME96; y; SND_RME96; y
SND_VX_LIB; y; SND_VX_LIB; y
SND_FIREWIRE_LIB; y; SND_FIREWIRE_LIB; y
BT_HCIBTUSB; y; BT_HCIBTUSB; y
BOOKE_WDT_DEFAULT_TIMEOUT; 1; ; 
TIGON3; y; TIGON3; y
RIONET; y; RIONET; y
DVB_DIB7000M; y; DVB_DIB7000M; y
REGMAP_MMIO; y; REGMAP_MMIO; y
SND_SOC_SIRF; y; SND_SOC_SIRF; y
SND_ATMEL_SOC; y; SND_ATMEL_SOC; y
SND_SOC_SIRF_AUDIO_CODEC; y; SND_SOC_SIRF_AUDIO_CODEC; y
SND_SOC_STM32_I2S; y; SND_SOC_STM32_I2S; y
SND_SOC_FSL_SAI; y; SND_SOC_FSL_SAI; y
SND_SOC_FSL_SPDIF; y; SND_SOC_FSL_SPDIF; y
SND_SOC_JZ4740_CODEC; y; SND_SOC_JZ4740_CODEC; y
SND_SOC_FSL_ESAI; y; SND_SOC_FSL_ESAI; y
SECURITY_SELINUX_BOOTPARAM_VALUE; 1; ; 
SC6600_CDROMBASE; 0; ; 
DVB_STV0288; y; DVB_STV0288; y
DVB_BUDGET_CI; y; DVB_BUDGET_CI; y
DVB_DM1105; y; DVB_DM1105; y
DVB_USB_LME2510; y; DVB_USB_LME2510; y
ARCH_HAS_MEM_ENCRYPT; y; ARCH_HAS_MEM_ENCRYPT; y
REGMAP_I2C; y; REGMAP_I2C; y
SND_SOC_WM8804_I2C; y; SND_SOC_WM8804_I2C; y
KXSD9; y; KXSD9; y
MEDIA_TUNER_M88RS6000T; y; MEDIA_TUNER_M88RS6000T; y
DVB_TDA10071; y; DVB_TDA10071; y
MFD_SI476X_CORE; y; MFD_SI476X_CORE; y
SND_SOC_RT5677; y; SND_SOC_RT5677; y
SND_SOC_SSM2602_I2C; y; SND_SOC_SSM2602_I2C; y
MFD_WM8994; y; MFD_WM8994; y
DVB_MN88473; y; DVB_MN88473; y
SND_SOC_PCM3168A_I2C; y; SND_SOC_PCM3168A_I2C; y
SND_SOC_STA32X; y; SND_SOC_STA32X; y
SND_SOC_TLV320AIC31XX; y; SND_SOC_TLV320AIC31XX; y
BMP280_I2C; y; BMP280_I2C; y
SND_SOC_CS42XX8_I2C; y; SND_SOC_CS42XX8_I2C; y
MEDIA_TUNER_TDA18212; y; MEDIA_TUNER_TDA18212; y
MEDIA_TUNER_E4000; y; MEDIA_TUNER_E4000; y
MEDIA_TUNER_FC2580; y; MEDIA_TUNER_FC2580; y
SND_SOC_ADAU1761_I2C; y; SND_SOC_ADAU1761_I2C; y
DVB_SI2165; y; DVB_SI2165; y
DVB_CXD2820R; y; DVB_CXD2820R; y
MEDIA_TUNER_TUA9001; y; MEDIA_TUNER_TUA9001; y
DVB_AF9033; y; DVB_AF9033; y
MFD_ARIZONA_I2C; y; MFD_ARIZONA_I2C; y
DVB_TS2020; y; DVB_TS2020; y
DRM_I2C_ADV7511; y; DRM_I2C_ADV7511; y
MEDIA_TUNER_IT913X; y; MEDIA_TUNER_IT913X; y
DVB_MN88472; y; DVB_MN88472; y
DVB_M88DS3103; y; DVB_M88DS3103; y
SND_SYNTH_EMUX; y; SND_SYNTH_EMUX; y
RTLWIFI; y; RTLWIFI; y
RTL8723AE; y; RTL8723AE; y
SND_SOC_INTEL_BXT_RT298_MACH; y; SND_SOC_INTEL_BXT_RT298_MACH; y
MEDIA_TUNER_TDA18271; y; MEDIA_TUNER_TDA18271; y
MEDIA_TUNER_TDA8290; y; MEDIA_TUNER_TDA8290; y
SND_SOC_WM5102; y; SND_SOC_WM5102; y
SND_SOC_BELLS; y; SND_SOC_BELLS; y
MFD_ARIZONA; y; MFD_ARIZONA; y
SND_SOC_INTEL_BYTCR_RT5651_MACH; y; SND_SOC_INTEL_BYTCR_RT5651_MACH; y
SND_SOC_TWL6040; y; SND_SOC_TWL6040; y
DRM_DW_HDMI_CEC; y; DRM_DW_HDMI_CEC; y
HAVE_OPROFILE; y; HAVE_OPROFILE; y
LEGACY_VSYSCALL_NONE; y; LEGACY_VSYSCALL_NONE; y
SND_SOC_TLV320AIC23_SPI; y; SND_SOC_TLV320AIC23_SPI; y
B43_BUSES_BCMA; y; B43_BUSES_BCMA; y
B43_BCMA; y; B43_BCMA; y
DVB_VES1820; y; DVB_VES1820; y
BASE_FULL; y; BASE_FULL; y
DRM_PANEL; y; DRM_PANEL; y
DRM_MIPI_DSI; y; DRM_MIPI_DSI; y
NF_REJECT_IPV6; y; NF_REJECT_IPV6; y
SRCU; y; SRCU; y
TINY_RCU; y; TINY_RCU; y
TINY_SRCU; y; TINY_SRCU; y
DM_BIO_PRISON; y; DM_BIO_PRISON; y
DM_CACHE; y; DM_CACHE; y
DM_ERA; y; DM_ERA; y
RAID_ATTRS; y; RAID_ATTRS; y
SCSI_MOD; y; SCSI_MOD; y
SCSI_MPT3SAS; y; SCSI_MPT3SAS; y
BT_BCM; y; BT_BCM; y
BT_HCIBTUSB_BCM; y; BT_HCIBTUSB_BCM; y
INET6_XFRM_MODE_TUNNEL; y; INET6_XFRM_MODE_TUNNEL; y
CRC_ITU_T; y; CRC_ITU_T; y
RT73USB; y; RT73USB; y
NFC; y; NFC; y
AIC7XXX_DEBUG_MASK; 0; ; 
HAVE_IDE; y; HAVE_IDE; y
DVB_STV6110x; y; DVB_STV6110x; y
SND_SOC_RT274; y; SND_SOC_RT274; y
MEDIA_TUNER_TDA827X; y; MEDIA_TUNER_TDA827X; y
DVB_USB_TTUSB2; y; DVB_USB_TTUSB2; y
NET_IPGRE_DEMUX; y; NET_IPGRE_DEMUX; y
GENERIC_IOMAP; y; GENERIC_IOMAP; y
DVB_STV0299; y; DVB_STV0299; y
DVB_BUDGET_AV; y; DVB_BUDGET_AV; y
DVB_USB_OPERA1; y; DVB_USB_OPERA1; y
PWM_SYSFS; y; PWM_SYSFS; y
RCU_CPU_STALL_TIMEOUT; 300; ; 
ARCH_MMAP_RND_BITS_MAX; 0; ARCH_MMAP_RND_BITS_MAX; 32
HID_SENSOR_HUMIDITY; y; HID_SENSOR_HUMIDITY; y
SND_SOC_ADAV803; y; SND_SOC_ADAV803; y
RADIO_SI4713; y; RADIO_SI4713; y
PPC_EARLY_DEBUG_EHV_BC_HANDLE; 0; ; 
DRM_RCAR_DW_HDMI; y; DRM_RCAR_DW_HDMI; y
THIN_ARCHIVES; y; THIN_ARCHIVES; y
VIDEO_SAA6588; y; VIDEO_SAA6588; y
INET6_TUNNEL; y; INET6_TUNNEL; y
IPV6_TUNNEL; y; IPV6_TUNNEL; y
CRC32; y; CRC32; y
BROKEN_ON_SMP; y; BROKEN_ON_SMP; y
SCSI_SAS_LIBSAS; y; SCSI_SAS_LIBSAS; y
SND_HDA_POWER_SAVE_DEFAULT; 1; SND_HDA_POWER_SAVE_DEFAULT; 1
SYSTEMPORT; y; SYSTEMPORT; y
NET_VENDOR_AMD; y; NET_VENDOR_AMD; y
ETHOC; y; ETHOC; y
USB_NET_AX88179_178A; y; USB_NET_AX88179_178A; y
USB_NET_AX8817X; y; USB_NET_AX8817X; y
OF_NET; y; OF_NET; y
ISCSI_BOOT_SYSFS; y; ISCSI_BOOT_SYSFS; y
CRYPTO_ECB; y; CRYPTO_ECB; y
CRYPTO_DEV_PICOXCELL; y; CRYPTO_DEV_PICOXCELL; y
CRYPTO_DEV_CCREE; y; CRYPTO_DEV_CCREE; y
CRYPTO_XTS; y; CRYPTO_XTS; y
NET_VENDOR_MELLANOX; y; NET_VENDOR_MELLANOX; y
DVB_S5H1420; y; DVB_S5H1420; y
SND_DYNAMIC_MINORS; y; SND_DYNAMIC_MINORS; y
SLABINFO; y; SLABINFO; y
PM_WAKELOCKS_LIMIT; 1; ; 
COMEDI_NI_LABPC; y; COMEDI_NI_LABPC; y
COMEDI_NI_LABPC_CS; y; COMEDI_NI_LABPC_CS; y
NVRAM; y; NVRAM; y
IMA_X509_PATH; "/etc/keys/x509_ima.der"; ; 
VIDEO_OV13858; y; VIDEO_OV13858; y
USB_OHCI_HCD; y; USB_OHCI_HCD; y
BATTERY_BQ27XXX_HDQ; y; BATTERY_BQ27XXX_HDQ; y
CMA_SIZE_PERCENTAGE; 10; CMA_SIZE_PERCENTAGE; 10
WIMAX_I2400M; y; WIMAX_I2400M; y
WIMAX; y; WIMAX; y
WIMAX_I2400M_USB; y; WIMAX_I2400M_USB; y
LOCALVERSION; ""; LOCALVERSION; ""
SND_SOC_WM5110; y; SND_SOC_WM5110; y
SND_SOC_SAMSUNG_TM2_WM5110; y; SND_SOC_SAMSUNG_TM2_WM5110; y
DEFAULT_IO_DELAY_TYPE; 0; DEFAULT_IO_DELAY_TYPE; 0
IO_DELAY_0X80; y; IO_DELAY_0X80; y
MTDRAM_ERASE_SIZE; 0; MTDRAM_ERASE_SIZE; 0
FB_NOTIFY; y; FB_NOTIFY; y
DPM_WATCHDOG_TIMEOUT; 1; ; 
SCSI_NETLINK; y; SCSI_NETLINK; y
DVB_LNBP21; y; DVB_LNBP21; y
USB_NET_CDC_SUBSET; y; USB_NET_CDC_SUBSET; y
VGA_CONSOLE; y; VGA_CONSOLE; y
MSNDPIN_JOYSTICK_IO; 0x0; ; 
SND_SOC_DMIC; y; SND_SOC_DMIC; y
SND_SOC_INTEL_SKL_NAU88L25_MAX98357A_MACH; y; SND_SOC_INTEL_SKL_NAU88L25_MAX98357A_MACH; y
SND_SOC_INTEL_SKL_NAU88L25_SSM4567_MACH; y; SND_SOC_INTEL_SKL_NAU88L25_SSM4567_MACH; y
VIDEO_M52790; y; VIDEO_M52790; y
GENERIC_FIND_FIRST_BIT; y; GENERIC_FIND_FIRST_BIT; y
CRYPTO_HMAC; y; CRYPTO_HMAC; y
CRYPTO_DRBG_MENU; y; CRYPTO_DRBG_MENU; y
INET_AH; y; INET_AH; y
CRYPTO_DRBG_HMAC; y; CRYPTO_DRBG_HMAC; y
SND_PCM_TIMER; y; SND_PCM_TIMER; y
SND_SOC_WM8731; y; SND_SOC_WM8731; y
COMEDI_DAS08_PCI; y; COMEDI_DAS08_PCI; y
NETFILTER_NETLINK; y; NETFILTER_NETLINK; y
SYSCTL; y; SYSCTL; y
PINCTRL_APQ8084; y; PINCTRL_APQ8084; y
HAVE_MEMORY_PRESENT; y; HAVE_MEMORY_PRESENT; y
SERIAL_RP2_NR_UARTS; 0; ; 
PLATFORM_SI4713; y; PLATFORM_SI4713; y
SYSTEM_EXTRA_CERTIFICATE_SIZE; 4096; ; 
MSNDCLAS_INIT_FILE; ""; ; 
UNIX98_PTYS; y; UNIX98_PTYS; y
HAVE_CONTEXT_TRACKING; y; HAVE_CONTEXT_TRACKING; y
ARCH_USE_QUEUED_RWLOCKS; y; ARCH_USE_QUEUED_RWLOCKS; y
VIDEO_RENESAS_FDP1; y; VIDEO_RENESAS_FDP1; y
VIDEO_MX2_EMMAPRP; y; VIDEO_MX2_EMMAPRP; y
MTD_CFI_NOSWAP; y; MTD_CFI_NOSWAP; y
SND_SOC_TFA9879; y; SND_SOC_TFA9879; y
HAVE_ARCH_SOFT_DIRTY; y; HAVE_ARCH_SOFT_DIRTY; y
SND_SOC_INTEL_SST_ACPI; y; SND_SOC_INTEL_SST_ACPI; y
SND_SOC_INTEL_SST; y; SND_SOC_INTEL_SST; y
ARCH_HAS_CACHE_LINE_SIZE; y; ARCH_HAS_CACHE_LINE_SIZE; y
INET_XFRM_MODE_TUNNEL; y; INET_XFRM_MODE_TUNNEL; y
RSI_91X; y; RSI_91X; y
WLAN_VENDOR_RSI; y; WLAN_VENDOR_RSI; y
ROCKCHIP_GRF; y; ROCKCHIP_GRF; y
TOUCHSCREEN_PROPERTIES; y; TOUCHSCREEN_PROPERTIES; y
RT2800USB; y; RT2800USB; y
MLXSW_CORE; y; MLXSW_CORE; y
USB_NET_CDCETHER; y; USB_NET_CDCETHER; y
USB_NET_RNDIS_WLAN; y; USB_NET_RNDIS_WLAN; y
USB_NET_ZAURUS; y; USB_NET_ZAURUS; y
USB_NET_RNDIS_HOST; y; USB_NET_RNDIS_HOST; y
XZ_DEC; y; XZ_DEC; y
MLXFW; y; MLXFW; y
PCI_IOV; y; PCI_IOV; y
SND_SIMPLE_CARD_UTILS; y; SND_SIMPLE_CARD_UTILS; y
MTD_COMPLEX_MAPPINGS; y; MTD_COMPLEX_MAPPINGS; y
REGMAP_SPI; y; REGMAP_SPI; y
REGMAP_SPMI; y; REGMAP_SPMI; y
DVB_AF9013; y; DVB_AF9013; y
BT_INTEL; y; BT_INTEL; y
SND_HDA_CORE; y; SND_HDA_CORE; y
DVB_RTL2830; y; DVB_RTL2830; y
DVB_RTL2832; y; DVB_RTL2832; y
BMP280_SPI; y; BMP280_SPI; y
HZ; 0; HZ; 250
HZ_250; y; HZ_250; y
MAC80211_RC_MINSTREL_HT; y; MAC80211_RC_MINSTREL_HT; y
CFAG12864B; y; CFAG12864B; y
USB_EHCI_HCD_PLATFORM; y; USB_EHCI_HCD_PLATFORM; y
USB_HCD_BCMA; y; USB_HCD_BCMA; y
SND_SOC_RT5659; y; SND_SOC_RT5659; y
CRYPTO_CMAC; y; CRYPTO_CMAC; y
NF_NAT_REDIRECT; y; NF_NAT_REDIRECT; y
SND_SOC_WM8991; y; SND_SOC_WM8991; y
HAVE_NMI; y; HAVE_NMI; y
DVB_MT352; y; DVB_MT352; y
DVB_USB_DIGITV; y; DVB_USB_DIGITV; y
DVB_USB_UMT_010; y; DVB_USB_UMT_010; y
SPARSE_IRQ; y; SPARSE_IRQ; y
FB_GEODE; y; FB_GEODE; y
ALTERA_STAPL; y; ALTERA_STAPL; y
COMEDI_MITE; y; COMEDI_MITE; y
COMEDI_NI_TIOCMD; y; COMEDI_NI_TIOCMD; y
PHY_ROCKCHIP_INNO_USB2; y; PHY_ROCKCHIP_INNO_USB2; y
BCH_CONST_M; 1; BCH_CONST_M; 14
SND_SOC_TEGRA_WM8753; y; SND_SOC_TEGRA_WM8753; y
CHELSIO_T1; y; CHELSIO_T1; y
NET_VENDOR_CHELSIO; y; NET_VENDOR_CHELSIO; y
FB_CMDLINE; y; FB_CMDLINE; y
SFC; y; SFC; y
TSYS02D; y; TSYS02D; y
MTD_UBI_BEB_LIMIT; 1; MTD_UBI_BEB_LIMIT; 1
CRYPTO_JITTERENTROPY; y; CRYPTO_JITTERENTROPY; y
CRYPTO_DRBG; y; CRYPTO_DRBG; y
NET_VENDOR_WIZNET; y; NET_VENDOR_WIZNET; y
MMU_NOTIFIER; y; MMU_NOTIFIER; y
XEN_GNTDEV; y; XEN_GNTDEV; y
QUOTA; y; QUOTA; y
SND_SOC_WM8804; y; SND_SOC_WM8804; y
SND_SOC_WM8804_SPI; y; SND_SOC_WM8804_SPI; y
VIDEO_ADV7511; y; VIDEO_ADV7511; y
INPUT_SPARSEKMAP; y; INPUT_SPARSEKMAP; y
SND_SOC_MAX98357A; y; SND_SOC_MAX98357A; y
HAVE_PERF_EVENTS; y; HAVE_PERF_EVENTS; y
FSNOTIFY; y; FSNOTIFY; y
DAX; y; DAX; y
USB_KC2190; y; USB_KC2190; y
DEFAULT_DCTCP; y; DEFAULT_DCTCP; y
TCP_CONG_DCTCP; y; TCP_CONG_DCTCP; y
SND_SST_ATOM_HIFI2_PLATFORM; y; SND_SST_ATOM_HIFI2_PLATFORM; y
HYPERV; y; HYPERV; y
