xp; xp_val; conf; conf_val
PINCTRL_QCOM_SPMI_PMIC; y; PINCTRL_QCOM_SPMI_PMIC; y
TWL6040_CORE; y; TWL6040_CORE; y
CPU_SUP_AMD; y; CPU_SUP_AMD; y
SCSI_LOWLEVEL; y; SCSI_LOWLEVEL; y
SCSI; y; SCSI; y
NVME_FC; y; NVME_FC; y
LIBFC; y; LIBFC; y
TARGET_CORE; y; TARGET_CORE; y
SCSI_FC_ATTRS; y; SCSI_FC_ATTRS; y
WATCHDOG; y; WATCHDOG; y
V4L_MEM2MEM_DRIVERS; y; V4L_MEM2MEM_DRIVERS; y
SND_SOC_TEGRA; y; SND_SOC_TEGRA; y
RADIO_SHARK; y; RADIO_SHARK; y
HID_SENSOR_HUB; y; HID_SENSOR_HUB; y
HAVE_CC_STACKPROTECTOR; y; HAVE_CC_STACKPROTECTOR; y
TCP_CONG_ADVANCED; y; TCP_CONG_ADVANCED; y
PROC_FS; y; PROC_FS; y
NFC_NCI; y; NFC_NCI; y
NLS; y; NLS; y
PCMCIA; y; PCMCIA; y
SND_PCI; y; SND_PCI; y
BLK_DEV_DM; y; BLK_DEV_DM; y
MD; y; MD; y
MEDIA_TUNER_SI2157; y; MEDIA_TUNER_SI2157; y
MEDIA_SDR_SUPPORT; y; MEDIA_SDR_SUPPORT; y
MEDIA_RADIO_SUPPORT; y; MEDIA_RADIO_SUPPORT; y
MEDIA_SUBDRV_AUTOSELECT; y; MEDIA_SUBDRV_AUTOSELECT; y
MEDIA_ANALOG_TV_SUPPORT; y; MEDIA_ANALOG_TV_SUPPORT; y
DVB_CORE; y; DVB_CORE; y
I2C_MUX; y; I2C_MUX; y
VIDEO_EM28XX; y; VIDEO_EM28XX; y
VIDEO_CX23885; y; VIDEO_CX23885; y
DVB_USB; y; DVB_USB; y
DVB_USB_RTL28XXU; y; DVB_USB_RTL28XXU; y
VGACON_SOFT_SCROLLBACK_SIZE; 64; ; 
I2C_DESIGNWARE_PLATFORM; y; I2C_DESIGNWARE_PLATFORM; y
INTEL_SOC_PMIC; y; INTEL_SOC_PMIC; y
MEDIA_TUNER_MT2063; y; MEDIA_TUNER_MT2063; y
DVB_USB_AZ6007; y; DVB_USB_AZ6007; y
FB_RADEON; y; FB_RADEON; y
MISC_FILESYSTEMS; y; MISC_FILESYSTEMS; y
NET_VENDOR_DEC; y; NET_VENDOR_DEC; y
NET_TULIP; y; NET_TULIP; y
DMADEVICES; y; DMADEVICES; y
MEDIA_CEC_SUPPORT; y; MEDIA_CEC_SUPPORT; y
TTPCI_EEPROM; y; TTPCI_EEPROM; y
DVB_BUDGET_CORE; y; DVB_BUDGET_CORE; y
DVB_USB_PCTV452E; y; DVB_USB_PCTV452E; y
DVB_AV7110; y; DVB_AV7110; y
DVB_AU8522; y; DVB_AU8522; y
