option,type
NIU,TRISTATE
IP_VS_LBLCR,TRISTATE
BLK_DEV_IDEDMA_PCI,BOOL
ATM_ENI_TUNE_BURST,BOOL
HINIC,TRISTATE
PINCTRL_PFC_SH7203,BOOL
SND_AD1889,TRISTATE
SND_SOC_GENERIC_DMAENGINE_PCM,BOOL
USB_DWC3_ULPI,BOOL
PANEL_LCD_HWIDTH,INT
INTEL_IDLE,BOOL
SERIAL_8250_BOCA,TRISTATE
TOUCHSCREEN_ELAN,TRISTATE
NET_VENDOR_TEHUTI,BOOL
IP_VS_DH,TRISTATE
BLK_DEV_ALI15X3,TRISTATE
SCSI_OSD_DEBUG,BOOL
ATM_ENI_BURST_TX_16W,BOOL
NET_VENDOR_IBM,BOOL
DRM_VC4_HDMI_CEC,BOOL
SND_ALS300,TRISTATE
SND_SOC_SPDIF,TRISTATE
USB_ULPI_BUS,TRISTATE
PANEL_LCD_CHARSET,INT
HAVE_MEMBLOCK,BOOL
NFC_ST21NFCA_I2C,TRISTATE
SPI_DESIGNWARE,TRISTATE
IR_XMP_DECODER,TRISTATE
VIDEO_MEM2MEM_DEINTERLACE,TRISTATE
EDAC_ALTERA_NAND,BOOL
USERFAULTFD,BOOL
BATMAN_ADV_DEBUGFS,BOOL
MTD_NAND_NUC900,TRISTATE
MFD_INTEL_MSIC,BOOL
MEDIA_TUNER_FC0013,TRISTATE
SC6600,BOOL
RBTREE_TEST,TRISTATE
CRYPTO,TRISTATE
HAVE_MEMBLOCK_NODE_MAP,BOOL
NFC_ST_NCI,TRISTATE
SPI_DW_PCI,TRISTATE
RC_DEVICES,BOOL
VIDEO_SAMSUNG_S5P_G2D,TRISTATE
EDAC_ALTERA_DMA,BOOL
PCI_QUIRKS,BOOL
X86_INTEL_QUARK,BOOL
BATMAN_ADV_DEBUG,BOOL
DVB_USB_DVBSKY,TRISTATE
SC6600_JOY,BOOL
INTERVAL_TREE_TEST,TRISTATE
HAVE_MIXED_BREAKPOINTS_REGS,BOOL
NFC_ST_NCI_I2C,TRISTATE
SPI_DW_MID_DMA,BOOL
RC_ATI_REMOTE,TRISTATE
VIDEO_SAMSUNG_S5P_JPEG,TRISTATE
PL330_DMA,TRISTATE
X86_TSC,BOOL
PCI,BOOL
MTD_NAND_JZ4740,TRISTATE
DVB_SP2,TRISTATE
SC6600_CDROM,INT
PERCPU_TEST,TRISTATE
HAVE_MOD_ARCH_SPECIFIC,BOOL
OPENVSWITCH,TRISTATE
NFC_ST_NCI_SPI,TRISTATE
SPI_DW_MMIO,TRISTATE
IR_ENE,TRISTATE
VIDEO_SAMSUNG_S5P_MFC,TRISTATE
EDAC_ALTERA_USB,BOOL
MEMBARRIER,BOOL
IOSF_MBI,TRISTATE
DVB_USB_ZD1301,TRISTATE
SC6600_CDROMBASE,HEX
ATOMIC64_SELFTEST,TRISTATE
HAVE_NMI,BOOL
MPLS,BOOL
NFC_NXP_NCI,TRISTATE
SPI_DLN2,TRISTATE
IR_HIX5HD2,TRISTATE
VIDEO_MX2_EMMAPRP,TRISTATE
EDAC_ALTERA_QSPI,BOOL
EMBEDDED,BOOL
MTD_NAND_JZ4780,TRISTATE
DVB_ZD1301_DEMOD,TRISTATE
SOUND_VIDC,TRISTATE
INTEL_IMR,BOOL
ASYNC_RAID6_TEST,TRISTATE
HAVE_OPROFILE,BOOL
NET_MPLS_GSO,TRISTATE
NFC_NXP_NCI_I2C,TRISTATE
SPI_EFM32,TRISTATE
IR_IMON,TRISTATE
VIDEO_SAMSUNG_EXYNOS_GSC,TRISTATE
EDAC_ALTERA_SDMMC,BOOL
