option,type
HAS_TXX9_ACLC,BOOL
VIPERBOARD_ADC,TRISTATE
NLS_CODEPAGE_857,TRISTATE
FM10K,TRISTATE
ACPI_THERMAL_REL,TRISTATE
MFD_INTEL_QUARK_I2C_GPIO,TRISTATE
MMC_WBSD,TRISTATE
SAMPLE_STATX,BOOL
TXX9_DMAC,TRISTATE
INTEL_IOMMU,BOOL
XILINX_XADC,TRISTATE
NLS_CODEPAGE_860,TRISTATE
BLK_DEV_PALMCHIP_BK3710,TRISTATE
NET_VENDOR_I825XX,BOOL
INT3406_THERMAL,TRISTATE
MMC_AU1X,TRISTATE
INTEL_PMC_IPC,TRISTATE
KGDB_TESTS,BOOL
PM_WAKELOCKS_GC,BOOL
SND_SOC_TXX9ACLC_AC97,TRISTATE
AD8366,TRISTATE
NLS_CODEPAGE_861,TRISTATE
DMA_API_DEBUG,BOOL
BLK_DEV_4DRIVES,TRISTATE
ARM_ETHER1,TRISTATE
INTEL_BXT_PMIC_THERMAL,TRISTATE
MFD_INTEL_LPSS,TRISTATE
MMC_ATMELMCI,TRISTATE
KGDB_TESTS_ON_BOOT,BOOL
SWIOTLB,BOOL
PM_DEBUG,BOOL
SATA_NV,TRISTATE
SND_SOC_TXX9ACLC_GENERIC,TRISTATE
ATLAS_PH_SENSOR,TRISTATE
NLS_CODEPAGE_862,TRISTATE
BLK_DEV_ALI14XX,TRISTATE
BVME6000_NET,TRISTATE
INTEL_PCH_THERMAL,TRISTATE
MMC_SDHCI_MSM,TRISTATE
KGDB_TESTS_BOOT_STRING,STRING
NEED_SG_DMA_LENGTH,BOOL
PM_ADVANCED_DEBUG,BOOL
MFD_INTEL_LPSS_ACPI,TRISTATE
SND_SOC_UX500,TRISTATE
NLS_CODEPAGE_863,TRISTATE
BLK_DEV_DTC2278,TRISTATE
SATA_PROMISE,TRISTATE
LASI_82596,TRISTATE
MTK_THERMAL,TRISTATE
MMC_MXC,TRISTATE
CCS811,TRISTATE
GENERIC_ISA_DMA,BOOL
PM_TEST_SUSPEND,BOOL
MFD_INTEL_LPSS_PCI,TRISTATE
SND_SOC_UX500_PLAT_MSP_I2S,TRISTATE
NLS_CODEPAGE_864,TRISTATE
BLK_DEV_HT6560B,TRISTATE
SATA_RCAR,TRISTATE
MVME16x_NET,TRISTATE
BCM2835_THERMAL,TRISTATE
MMC_MXS,TRISTATE
IAQCORE,TRISTATE
KGDB_LOW_LEVEL_TRAP,BOOL
ISA_DMA_API,BOOL
SND_SOC_UX500_PLAT_DMA,TRISTATE
RTC_CLASS,BOOL
NLS_CODEPAGE_865,TRISTATE
BLK_DEV_QD65XX,TRISTATE
SATA_SIL,TRISTATE
SNI_82596,TRISTATE
BCM_NS_THERMAL,TRISTATE
MMC_TIFM_SD,TRISTATE
VZ89X,TRISTATE
IWLEGACY_DEBUG,BOOL
SND_INDIGO,TRISTATE
RTC_DRV_PCF8523,TRISTATE
TOUCHSCREEN_USB_ITM,BOOL
DEFAULT_CDG,BOOL
IP_NF_ARPFILTER,TRISTATE
ARM_CCI,BOOL
B53_MDIO_DRIVER,TRISTATE
FB_AUO_K190X,TRISTATE
SND_SOC_TLV320AIC32X4,TRISTATE
IIO_TRIGGER,BOOL
ARM_GIC_V3_ITS,BOOL
EXT4_FS_ENCRYPTION,BOOL
HOTPLUG_PCI_CPCI_ZT5550,TRISTATE
IWLEGACY_DEBUGFS,BOOL
GPIO_VR41XX,TRISTATE
SND_INDIGOIO,TRISTATE
RTC_DRV_PCF85063,TRISTATE
B53_MMAP_DRIVER,TRISTATE
TOUCHSCREEN_USB_ETURBO,BOOL
DEFAULT_BBR,BOOL
IP_NF_ARP_MANGLE,TRISTATE
ARM_CCI_PMU,BOOL
FB_AUO_K1900,TRISTATE
SND_SOC_PHYCORE_AC97,TRISTATE
ADE7759,TRISTATE
ARM_NVIC,BOOL
EXT4_DEBUG,BOOL
HOTPLUG_PCI_CPCI_GENERIC,TRISTATE
IWLWIFI,TRISTATE
SYNCLINK_CS,TRISTATE
SND_INDIGODJ,TRISTATE
RTC_DRV_PCF8563,TRISTATE
B53_SRAB_DRIVER,TRISTATE
TOUCHSCREEN_USB_GUNZE,BOOL
DEFAULT_RENO,BOOL
NF_CONNTRACK_IPV6,TRISTATE
ARM_CCI400_COMMON,BOOL
FB_AUO_K1901,TRISTATE
ADE7854,TRISTATE
ARM_VIC,BOOL
JBD2_DEBUG,BOOL
HOTPLUG_PCI_SHPC,TRISTATE
IWLWIFI_LEDS,BOOL
CARDMAN_4000,TRISTATE
SND_INDIGOIOX,TRISTATE
RTC_DRV_PCF8583,TRISTATE
NET_DSA_BCM_SF2,TRISTATE
TOUCHSCREEN_USB_DMC_TSC10,BOOL
DEFAULT_TCP_CONG,STRING
NFT_CHAIN_ROUTE_IPV6,TRISTATE
ARM_CCI400_PMU,BOOL
FB_JZ4740,TRISTATE
ADE7854_I2C,TRISTATE
ARM_VIC_NR,INT
FS_MBCACHE,TRISTATE
HOTPLUG_PCI_POWERNV,TRISTATE
IWLDVM,TRISTATE
CARDMAN_4040,TRISTATE
SND_INDIGODJX,TRISTATE
RTC_DRV_M41T80,TRISTATE
TOUCHSCREEN_USB_IRTOUCH,BOOL
NF_NAT_IPV6,TRISTATE
BCM7XXX_PHY,TRISTATE
SND_SOC_EUKREA_TLV320,TRISTATE
ADE7854_SPI,TRISTATE
ARMADA_370_XP_IRQ,BOOL
REISERFS_FS,TRISTATE
IWLMVM,TRISTATE
SCR24X,TRISTATE
FB_MXS,TRISTATE
SND_EMU10K1,TRISTATE
RTC_DRV_M41T80_WDT,BOOL
TOUCHSCREEN_USB_IDEALTEK,BOOL
NFT_CHAIN_NAT_IPV6,TRISTATE
ARM_CCI400_PORT_CTRL,BOOL
MDIO_BCM_UNIMAC,TRISTATE
SND_SOC_IMX_WM8962,TRISTATE
AD2S90,TRISTATE
ALPINE_MSI,BOOL
REISERFS_CHECK,BOOL
IPWIRELESS,TRISTATE
FB_PUV3_UNIGFX,TRISTATE
SND_EMU10K1_SEQ,TRISTATE
RTC_DRV_BQ32K,TRISTATE
TOUCHSCREEN_USB_GENERAL_TOUCH,BOOL
NFT_MASQ_IPV6,TRISTATE
ARM_CCI5xx_PMU,BOOL
OF_DYNAMIC,BOOL
NET_DSA_LOOP,TRISTATE
IWLWIFI_OPMODE_MODULAR,BOOL
SND_SOC_WM8962,TRISTATE
AD2S1200,TRISTATE
ATMEL_AIC_IRQ,BOOL
REISERFS_PROC_INFO,BOOL
FB_HYPERV,TRISTATE
SND_EMU10K1X,TRISTATE
RTC_DRV_DM355EVM,TRISTATE
TOUCHSCREEN_USB_GOTOP,BOOL
HOTPLUG_PCI_RPA,TRISTATE
NF_NAT_MASQUERADE_IPV6,TRISTATE
ARM_CCN,TRISTATE
NET_DSA_MT7530,TRISTATE
MWAVE,TRISTATE
SND_SOC_IMX_ES8328,TRISTATE
AD2S1210,TRISTATE
ATMEL_AIC5_IRQ,BOOL
REISERFS_FS_XATTR,BOOL
SERIAL_ATMEL_TTYAT,BOOL
GENERIC_BUG,BOOL
KRETPROBES,BOOL
ROSE,TRISTATE
SPI_RB4XX,TRISTATE
VFIO_PLATFORM_CALXEDAXGMAC_RESET,TRISTATE
MPENTIUM4,BOOL
XILINX_LL_TEMAC,TRISTATE
MFD_TC6393XB,BOOL
MEDIA_RADIO_SUPPORT,BOOL
VIDEO_MEYE,TRISTATE
HID_TWINHAN,TRISTATE
SERIAL_KGDB_NMI,BOOL
BUG,BOOL
USER_RETURN_NOTIFIER,BOOL
MKISS,TRISTATE
SPI_RSPI,TRISTATE
FB_BOTH_ENDIAN,BOOL
MK6,BOOL
NET_VENDOR_XIRCOM,BOOL
BATTERY_COLLIE,TRISTATE
MEDIA_SDR_SUPPORT,BOOL
AGP_PARISC,TRISTATE
HID_KENSINGTON,TRISTATE
VFIO_PLATFORM_AMDXGBE_RESET,TRISTATE
SONY_LAPTOP,TRISTATE
GENERIC_BUG_RELATIVE_POINTERS,BOOL
GENERIC_IDLE_POLL_SETUP,BOOL
TTY,BOOL
SPI_QUP,TRISTATE
FB_BIG_ENDIAN,BOOL
KGDB_SERIAL_CONSOLE,TRISTATE
MK7,BOOL
PCMCIA_XIRC2PS,TRISTATE
MEDIA_CEC_SUPPORT,BOOL
VIDEO_SOLO6X10,TRISTATE
AGP_ALPHA_CORE,TRISTATE
HID_LCPOWER,TRISTATE
VLYNQ,BOOL
SERIAL_KS8695,BOOL
GENERIC_HWEIGHT,BOOL
ARCH_INIT_TASK,BOOL
6PACK,TRISTATE
SPI_S3C24XX,TRISTATE
FB_LITTLE_ENDIAN,BOOL
MK8,BOOL
NET_VENDOR_SYNOPSYS,BOOL
MCP_UCB1200,TRISTATE
MEDIA_CEC_RC,BOOL
HID_LED,TRISTATE
VLYNQ_DEBUG,BOOL
FONT_SUPPORT,TRISTATE
SERIAL_KS8695_CONSOLE,BOOL
ARCH_MAY_HAVE_PC_FDC,BOOL
ARCH_TASK_STRUCT_ALLOCATOR,BOOL
BPQETHER,TRISTATE
SPI_S3C24XX_FIQ,BOOL
FB_HECUBA,TRISTATE
MCRUSOE,BOOL
DWC_XLGMAC,TRISTATE
BATTERY_IPAQ_MICRO,TRISTATE
HID_LENOVO,TRISTATE
VIRT_DRIVERS,BOOL
FONT_8x16,BOOL
RWSEM_XCHGADD_ALGORITHM,BOOL
ARCH_THREAD_STACK_ALLOCATOR,BOOL
DMASCC,TRISTATE
SERIAL_MESON,TRISTATE
MEDIA_CONTROLLER,BOOL
FB_SVGALIB,TRISTATE
MEFFICEON,BOOL
DWC_XLGMAC_PCI,TRISTATE
BATTERY_WM97XX,BOOL
STA2X11_VIP,TRISTATE
HID_LOGITECH,TRISTATE
FSL_HV_MANAGER,TRISTATE
SERIAL_MESON_CONSOLE,BOOL
GENERIC_CALIBRATE_DELAY,BOOL
HAVE_CLK,BOOL
SCC,TRISTATE
SPI_S3C64XX,TRISTATE
MEDIA_CONTROLLER_DVB,BOOL
FB_MACMODES,TRISTATE
FDDI,TRISTATE
BATTERY_SBS,TRISTATE
VIDEO_ADV7180,TRISTATE
AGP_UNINORTH,TRISTATE
HID_LOGITECH_DJ,TRISTATE
VIRTIO_PCI,TRISTATE
SERIAL_CLPS711X,TRISTATE
ARCH_HAS_CPU_RELAX,BOOL
HAVE_NMI_WATCHDOG,BOOL
MWINCHIPC6,BOOL
SCC_DELAY,BOOL
SPI_SC18IS602,TRISTATE
FB_MODE_HELPERS,BOOL
CHARGER_SBS,TRISTATE
DVB_CORE,TRISTATE
VIDEO_TW5864,TRISTATE
AGP_EFFICEON,TRISTATE
HID_LOGITECH_HIDPP,TRISTATE
VIRTIO_PCI_LEGACY,BOOL
SND_SOC_UX500_MACH_MOP500,TRISTATE
USB_SERIAL_CH341,TRISTATE
NLS_CODEPAGE_866,TRISTATE
SUN3_82586,BOOL
NET_DSA_MV88E6060,TRISTATE
SATA_SIS,TRISTATE
PINCTRL_SUN8I_A33,BOOL
VIDEO_STM32_HDMI_CEC,TRISTATE
CLK_VEXPRESS_OSC,BOOL
IPMMU_VMSA,BOOL
REISERFS_FS_POSIX_ACL,BOOL
HOTPLUG_PCI_RPA_DLPAR,TRISTATE
SND_SOC_AB8500_CODEC,TRISTATE
USB_SERIAL_WHITEHEAT,TRISTATE
NLS_CODEPAGE_869,TRISTATE
NET_VENDOR_XSCALE,BOOL
PATA_SIS,TRISTATE
MICROCHIP_KSZ,TRISTATE
PINCTRL_SUN8I_A83T,BOOL
CLK_HSDK,BOOL
S390_IOMMU,BOOL
IMA_KEYRINGS_PERMIT_SIGNED_BY_BUILTIN_OR_SECONDARY,BOOL
HOTPLUG_PCI_SGI,TRISTATE
SDR_PLATFORM_DRIVERS,BOOL
SND_SOC_XTFPGA_I2S,TRISTATE
USB_EZUSB_FX2,TRISTATE
REISERFS_FS_SECURITY,BOOL
NLS_CODEPAGE_936,TRISTATE
SATA_SVW,TRISTATE
MICROCHIP_KSZ_SPI_DRIVER,TRISTATE
PINCTRL_SUN8I_A83T_R,BOOL
COMMON_CLK_MAX77686,TRISTATE
S390_CCW_IOMMU,BOOL
HOTPLUG_PCI_S390,BOOL
USB_SERIAL_DIGI_ACCELEPORT,TRISTATE
JFS_FS,TRISTATE
NLS_CODEPAGE_950,TRISTATE
SATA_ULI,TRISTATE
NET_DSA_MV88E6XXX,TRISTATE
PINCTRL_SUN8I_A23_R,BOOL
VIDEO_RCAR_DRIF,TRISTATE
ZX_SPDIF,TRISTATE
COMMON_CLK_RK808,TRISTATE
QCOM_IOMMU,BOOL
PCIE_DW,BOOL
JFS_POSIX_ACL,BOOL
NLS_CODEPAGE_932,TRISTATE
IXP4XX_ETH,TRISTATE
SATA_VIA,TRISTATE
NET_DSA_MV88E6XXX_GLOBAL2,BOOL
PINCTRL_SUN8I_H3,BOOL
SMS_SDIO_DRV,TRISTATE
ZX_I2S,TRISTATE
USB_SERIAL_CP210X,TRISTATE
COMMON_CLK_HI655X,TRISTATE
IMX_REMOTEPROC,TRISTATE
PCIE_DW_HOST,BOOL
NLS_CODEPAGE_949,TRISTATE
JME,TRISTATE
SATA_VITESSE,TRISTATE
NET_DSA_QCA8K,TRISTATE
PINCTRL_SUN8I_H3_R,BOOL
RADIO_SI470X,BOOL
ZX_TDM,TRISTATE
USB_SERIAL_CYPRESS_M8,TRISTATE
COMMON_CLK_SI5351,TRISTATE
OMAP_REMOTEPROC,TRISTATE
JFS_SECURITY,BOOL
PCIE_DW_EP,BOOL
NLS_CODEPAGE_874,TRISTATE
KORINA,TRISTATE
PATA_ALI,TRISTATE
NET_DSA_SMSC_LAN9303,TRISTATE
PINCTRL_SUN8I_V3S,BOOL
USB_SI470X,TRISTATE
SND_SOC_ALL_CODECS,TRISTATE
USB_SERIAL_EMPEG,TRISTATE
COMMON_CLK_SI514,TRISTATE
RPMSG_VIRTIO,TRISTATE
JFS_DEBUG,BOOL
SECONDARY_TRUSTED_KEYRING,BOOL
PCI_ENDPOINT,BOOL
NLS_ISO8859_8,TRISTATE
NET_DSA_SMSC_LAN9303_I2C,TRISTATE
TCP_MD5SIG,BOOL
PATA_AMD,TRISTATE
PINCTRL_SUN9I_A80,BOOL
I2C_SI470X,TRISTATE
SND_SOC_ADAU1761_SPI,TRISTATE
USB_SERIAL_FTDI_SIO,TRISTATE
COMMON_CLK_SI570,TRISTATE
WKUP_M3_RPROC,TRISTATE
JFS_STATISTICS,BOOL
ARCH_HAS_CACHE_LINE_SIZE,BOOL
PM_SLEEP_DEBUG,BOOL
SCC_TRXECHO,BOOL
IWLWIFI_BCAST_FILTERING,BOOL
MISDN_AVMFRITZ,TRISTATE
SND_ENS1370,TRISTATE
RTC_DRV_TWL92330,BOOL
OF_NET,BOOL
BLK_DEV_UMC8672,TRISTATE
DEFXX,TRISTATE
SCx200_GPIO,TRISTATE
BATTERY_BQ27XXX,TRISTATE
VIDEO_DEV,TRISTATE
AGP_SGI_TIOCA,TRISTATE
LOGITECH_FF,BOOL
IIO_CROS_EC_SENSORS_CORE,TRISTATE
HAVE_SETUP_PER_CPU_AREA,BOOL
DPM_WATCHDOG,BOOL
BAYCOM_SER_FDX,TRISTATE
IWLWIFI_PCIE_RTPM,BOOL
MISDN_IPAC,TRISTATE
SND_ENS1371,TRISTATE
RTC_DRV_TWL4030,TRISTATE
OF_MDIO,TRISTATE
BLK_DEV_IDEDMA,BOOL
DEFXX_MMIO,BOOL
NSC_GPIO,TRISTATE
BATTERY_BQ27XXX_I2C,TRISTATE
TI_SOC_THERMAL,TRISTATE
VIDEO_V4L2_SUBDEV_API,BOOL
VGA_ARB,BOOL
LOGIRUMBLEPAD2_FF,BOOL
IIO_CROS_EC_SENSORS,TRISTATE
NEED_PER_CPU_EMBED_FIRST_CHUNK,BOOL
MISDN_SPEEDFAX,TRISTATE
SND_ES1938,TRISTATE
RTC_DRV_PALMAS,TRISTATE
PSTORE,TRISTATE
BAYCOM_SER_HDX,TRISTATE
SCSI_MOD,TRISTATE
SKFP,TRISTATE
FIXED_PHY,TRISTATE
PC8736x_GPIO,TRISTATE
BATTERY_BQ27XXX_HDQ,TRISTATE
TI_THERMAL,BOOL
VIDEO_ADV_DEBUG,BOOL
VGA_ARB_MAX_GPUS,INT
LOGIG940_FF,BOOL
NEED_PER_CPU_PAGE_FIRST_CHUNK,BOOL
DPM_WATCHDOG_TIMEOUT,INT
IWLWIFI_DEBUG,BOOL
MISDN_ISAR,TRISTATE
SND_ES1968,TRISTATE
RTC_DRV_TPS6586X,TRISTATE
IIO_MS_SENSORS_I2C,TRISTATE
IMA_BLACKLIST_KEYRING,BOOL
BAYCOM_PAR,TRISTATE
OF_PCI_IRQ,TRISTATE
SCSI,TRISTATE
HIPPI,BOOL
RAW_DRIVER,TRISTATE
BATTERY_BQ27XXX_DT_UPDATES_NVM,BOOL
OMAP3_THERMAL,BOOL
VIDEO_FIXED_MINOR_RANGES,BOOL
VGA_SWITCHEROO,BOOL
LOGIWHEELS_FF,BOOL
ARCH_HIBERNATION_POSSIBLE,BOOL
IWLWIFI_DEBUGFS,BOOL
MISDN_INFINEON,TRISTATE
RTC_DRV_TPS65910,TRISTATE
IIO_SSP_SENSORS_COMMONS,TRISTATE
OF_RESERVED_MEM,BOOL
PARPORT,TRISTATE
RAID_ATTRS,TRISTATE
ROADRUNNER,TRISTATE
MAX_RAW_DEVS,INT
BATTERY_DA9030,TRISTATE
OMAP4_THERMAL,BOOL
VIDEO_PCI_SKELETON,TRISTATE
TEGRA_HOST1X,TRISTATE
SND_ES1968_INPUT,BOOL
PM_TRACE,BOOL
ARCH_SUSPEND_POSSIBLE,BOOL
IWLWIFI_DEVICE_TRACING,BOOL
MISDN_W6692,TRISTATE
RTC_DRV_TPS80031,TRISTATE
IIO_SSP_SENSORHUB,TRISTATE
BAYCOM_EPP,TRISTATE
OF_OVERLAY,BOOL
SCSI_DMA,BOOL
ROADRUNNER_LARGE_RINGS,BOOL
HPET,BOOL
BATTERY_DA9052,TRISTATE
VIDEOBUF2_CORE,TRISTATE
TEGRA_HOST1X_FIREWALL,BOOL
SND_ES1968_RADIO,BOOL
HID_MAYFLASH,TRISTATE
ARCH_WANT_HUGE_PMD_SHARE,BOOL
PM_TRACE_RTC,BOOL
WLAN_VENDOR_INTERSIL,BOOL
MISDN_NETJET,TRISTATE
RTC_DRV_RC5T583,TRISTATE
104_QUAD_8,TRISTATE
YAM,TRISTATE
OF_NUMA,BOOL
SCSI_NETLINK,BOOL
NET_SB1000,TRISTATE
HPET_MMAP,BOOL
CHARGER_DA9150,TRISTATE
OMAP5_THERMAL,BOOL
VIDEOBUF2_MEMOPS,TRISTATE
IMX_IPUV3_CORE,TRISTATE
SND_FM801,TRISTATE
ARCH_WANT_GENERAL_HUGETLB,BOOL
APM_EMULATION,TRISTATE
HOSTAP,TRISTATE
NVM,BOOL
RTC_DRV_S35390A,TRISTATE
STM32_LPTIMER_CNT,TRISTATE
PANIC_TIMEOUT,INT
CAN_RAW,TRISTATE
PARPORT_PC,TRISTATE
SCSI_MQ_DEFAULT,BOOL
MDIO_DEVICE,TRISTATE
HPET_MMAP_DEFAULT,BOOL
MFD_DA9150,TRISTATE
VIDEOBUF2_DMA_CONTIG,TRISTATE
SND_FM801_TEA575X_BOOL,BOOL
HID_MONTEREY,TRISTATE
IMA_LOAD_X509,BOOL
PCI_DRA7XX,BOOL
SPI_SH_MSIOF,TRISTATE
KDB_DEFAULT_ENABLE,HEX
CRYPTO_TEA,TRISTATE
IPV6_ROUTER_PREF,BOOL
NFT_REDIR_IPV6,TRISTATE
BRCMSTB_GISB_ARB,BOOL
USB_SERIAL_VISOR,TRISTATE
MMC_MVSDIO,TRISTATE
VIRTIO_BALLOON,TRISTATE
I8259,BOOL
SPI_SH,TRISTATE
MFD_88PM805,TRISTATE
KDB_KEYBOARD,BOOL
CRYPTO_TWOFISH,TRISTATE
IPV6_ROUTE_INFO,BOOL
NFT_REJECT_IPV6,TRISTATE
USB_SERIAL_IPAQ,TRISTATE
MMC_DAVINCI,TRISTATE
VIRTIO_INPUT,TRISTATE
BCM6345_L1_IRQ,BOOL
SPI_SH_SCI,TRISTATE
MFD_MAX77686,TRISTATE
KDB_CONTINUE_CATASTROPHIC,INT
CRYPTO_TWOFISH_COMMON,TRISTATE
HAS_IOMEM,BOOL
IPV6_OPTIMISTIC_DAD,BOOL
NF_REJECT_IPV6,TRISTATE
IMX_WEIM,BOOL
USB_SERIAL_IR,TRISTATE
MMC_GOLDFISH,TRISTATE
VIRTIO_MMIO,TRISTATE
BCM7038_L1_IRQ,BOOL
SPI_SH_HSPI,TRISTATE
MFD_MAX8907,TRISTATE
TI_PIPE3,TRISTATE
ARCH_WANTS_UBSAN_NO_NULL,BOOL
CRYPTO_TWOFISH_586,TRISTATE
INET6_AH,TRISTATE
NFT_DUP_IPV6,TRISTATE
MIPS_CDMM,BOOL
USB_SERIAL_EDGEPORT,TRISTATE
MMC_SPI,TRISTATE
VIRTIO_MMIO_CMDLINE_DEVICES,BOOL
BCM7120_L2_IRQ,BOOL
PCI_DRA7XX_HOST,BOOL
SPI_SIRF,TRISTATE
PCF50633_ADC,TRISTATE
UBSAN,BOOL
CRYPTO_TWOFISH_X86_64,TRISTATE
INET6_ESP,TRISTATE
IP6_NF_MATCH_AH,TRISTATE
USB_SERIAL_EDGEPORT_TI,TRISTATE
MMC_S3C,TRISTATE
HYPERV_TSCPAGE,BOOL
BRCMSTB_L2_IRQ,BOOL
PCI_DRA7XX_EP,BOOL
PCF50633_GPIO,TRISTATE
SIRF_DMA,TRISTATE
UBSAN_SANITIZE_ALL,BOOL
CRYPTO_TWOFISH_X86_64_3WAY,TRISTATE
INET6_ESP_OFFLOAD,TRISTATE
IP6_NF_MATCH_EUI64,TRISTATE
MVEBU_MBUS,BOOL
USB_SERIAL_F81232,TRISTATE
S3C24XX_DMAC,BOOL
HYPERV_UTILS,TRISTATE
DW_APB_ICTL,BOOL
PCIE_DW_PLAT,BOOL
SPI_STM32,TRISTATE
UBSAN_ALIGNMENT,BOOL
CRYPTO_TWOFISH_AVX_X86_64,TRISTATE
INET6_IPCOMP,TRISTATE
IP6_NF_MATCH_FRAG,TRISTATE
USB_SERIAL_F8153X,TRISTATE
MMC_S3C_HW_SDIO_IRQ,BOOL
HYPERV_BALLOON,TRISTATE
FARADAY_FTINTC010,BOOL
PCI_EXYNOS,BOOL
SPI_ST_SSC4,TRISTATE
UBSAN_NULL,BOOL
CRYPTO_842,TRISTATE
INET6_XFRM_TUNNEL,TRISTATE
IP6_NF_MATCH_OPTS,TRISTATE
OMAP_INTERCONNECT,TRISTATE
MFD_QCOM_RPM,TRISTATE
USB_SERIAL_GARMIN,TRISTATE
XEN_BALLOON,BOOL
HISILICON_IRQ_MBIGEN,BOOL
HOSTAP_FIRMWARE,BOOL
ZONE_DMA32,BOOL
MWINCHIP3D,BOOL
FB_TILEBLITTING,BOOL
FB_SIMPLE,BOOL
NLS_CODEPAGE_1250,TRISTATE
SCHEDSTATS,BOOL
PARPORT_SERIAL,TRISTATE
PATA_ARASAN_CF,TRISTATE
TOUCHSCREEN_USB_JASTEC,BOOL
PINCTRL_SUN9I_A80_R,BOOL
VIDEO_TW68,TRISTATE
IIO_BFIN_TMR_TRIGGER,TRISTATE
COMMON_CLK_CDCE706,TRISTATE
HOSTAP_FIRMWARE_NVRAM,BOOL
PM_OPP,BOOL
AUDIT_ARCH,BOOL
MELAN,BOOL
FB_GRVGA,TRISTATE
FB_OMAP,TRISTATE
NLS_CODEPAGE_1251,TRISTATE
PATA_ARTOP,TRISTATE
TOUCHSCREEN_USB_ELO,BOOL
SERIAL_8250_PCI,TRISTATE
PINCTRL_SUN50I_A64,BOOL
VIDEO_TW686X,TRISTATE
FB_SM750,TRISTATE
COMMON_CLK_CDCE925,TRISTATE
HOSTAP_PLX,TRISTATE
PM_CLK,BOOL
ARCH_SUPPORTS_OPTIMIZED_INLINING,BOOL
MGEODEGX1,BOOL
FB_CIRRUS,TRISTATE
FB_OMAP_LCDC_EXTERNAL,BOOL
NLS_ASCII,TRISTATE
TOUCHSCREEN_USB_E2I,BOOL
PARPORT_PC_FIFO,BOOL
PATA_ATIIXP,TRISTATE
PINCTRL_SUN50I_A64_R,BOOL
VIDEO_ZORAN,TRISTATE
FB_XGI,TRISTATE
COMMON_CLK_CS2000_CP,TRISTATE
HOSTAP_PCI,TRISTATE
PM_GENERIC_DOMAINS,BOOL
ARCH_SUPPORTS_DEBUG_PAGEALLOC,BOOL
MGEODE_LX,BOOL
FB_PM2,TRISTATE
FB_OMAP_LCDC_HWA742,BOOL
NLS_ISO8859_1,TRISTATE
PARPORT_PC_SUPERIO,BOOL
PATA_ATP867X,TRISTATE
TOUCHSCREEN_USB_ZYTRONIC,BOOL
PINCTRL_SUN50I_H5,BOOL
VIDEO_ZORAN_DC30,TRISTATE
COMMON_CLK_GEMINI,BOOL
HOSTAP_CS,TRISTATE
WQ_POWER_EFFICIENT_DEFAULT,BOOL
KASAN_SHADOW_OFFSET,HEX
MCYRIXIII,BOOL
FB_PM2_FIFO_DISCONNECT,BOOL
FB_OMAP_MANUAL_UPDATE,BOOL
USB_EMXX,TRISTATE
NLS_ISO8859_2,TRISTATE
TOUCHSCREEN_USB_ETT_TC45USB,BOOL
PARPORT_PC_PCMCIA,TRISTATE
PATA_BF54X,TRISTATE
PINCTRL_TEGRA,BOOL
VIDEO_ADV7175,TRISTATE
COMMON_CLK_S2MPS11,TRISTATE
PM_GENERIC_DOMAINS_SLEEP,BOOL
MVIAC3_2,BOOL
HERMES,TRISTATE
FB_ARMCLCD,TRISTATE
FB_OMAP_LCD_MIPID,BOOL
SPEAKUP,TRISTATE
NLS_ISO8859_3,TRISTATE
KASAN,BOOL
SCHED_STACK_END_CHECK,BOOL
PARPORT_IP32,TRISTATE
TOUCHSCREEN_USB_NEXIO,BOOL
PINCTRL_TEGRA20,BOOL
VIDEO_VPX3220,TRISTATE
COMMON_CLK_AXI_CLKGEN,TRISTATE
MVIAC7,BOOL
PM_GENERIC_DOMAINS_OF,BOOL
HERMES_PRISM,BOOL
PLAT_VERSATILE_CLCD,BOOL
FB_OMAP_LCD_H3,BOOL
SPEAKUP_SYNTH_ACNTSA,TRISTATE
NLS_ISO8859_4,TRISTATE
TOUCHSCREEN_USB_EASYTOUCH,BOOL
PINCTRL_TEGRA30,BOOL
VIDEO_ZORAN_ZR36060,TRISTATE
COMMON_CLK_XGENE,BOOL
HERMES_CACHE_FW_ON_INIT,BOOL
HAVE_INTEL_TXT,BOOL
MPSC,BOOL
CPU_PM,BOOL
FB_ACORN,BOOL
SPEAKUP_SYNTH_ACNTPC,TRISTATE
NLS_ISO8859_5,TRISTATE
TOUCHSCREEN_TOUCHIT213,TRISTATE
PARPORT_NOT_PC,BOOL
PINCTRL_TEGRA114,BOOL
VIDEO_ZORAN_BUZ,TRISTATE
FB_OMAP_DMA_TUNE,BOOL
COMMON_CLK_NXP,BOOL
HAVE_HARDLOCKUP_DETECTOR_ARCH,BOOL
LANTIQ_ETOP,TRISTATE
NVM_DEBUG,BOOL
SERIAL_CLPS711X_CONSOLE,BOOL
STRICT_DEVMEM,BOOL
CAN_BCM,TRISTATE
OMAP_OCP2SCP,TRISTATE
NET_DSA_SMSC_LAN9303_MDIO,TRISTATE
HANGCHECK_TIMER,TRISTATE
DRM,TRISTATE
SND_SOC_ADAU1781_SPI,TRISTATE
SND_SOC_ES8328_I2C,TRISTATE
HID_MULTITOUCH,TRISTATE
DA9150_GPADC,TRISTATE
AD5064,TRISTATE
ARCH_WEAK_RELEASE_ACQUIRE,BOOL
NET_VENDOR_MARVELL,BOOL
NVM_RRPC,TRISTATE
SERIAL_SAMSUNG,TRISTATE
